Category_Value,Count
genre:Comedy;Mystery;Adventure;Action;Anime,58048
genre:Comedy;Mystery;Adventure;Crime drama;Thriller,14670
genre:Comedy;Mystery;Drama,3459
genre:Comedy;Mystery;Drama;Crime drama;Medical,96753
genre:Comedy;Mystery;Holiday;Crime drama,2936
genre:Comedy;Romance,8687617
genre:Comedy;Romance;LGBTQ,15073
genre:Comedy;Romance;Musical,571167
genre:Comedy;Romance;Romantic comedy,23023
genre:Comedy;Romance;Sci-Fi,351656
genre:Comedy;Romance;Sports;Teen,6402
genre:Comedy;Romantic comedy,351880
genre:Comedy;Science,162018
genre:Comedy;Science fiction,5194
genre:Comedy;Science fiction;Action,12060
genre:Comedy;Science fiction;Action;Sequel,5479
genre:Comedy;Science fiction;Horror,286195
genre:Comedy;Science fiction;Horror;Thriller,44400
genre:Comedy;Sequel,22610
genre:Comedy;Sequel;Teen,6600
genre:Comedy;Sitcom,36744443
genre:Comedy;Sitcom;Family,148079
genre:Comedy;Sitcom;Holiday,274556
genre:Comedy;Sitcom;Holiday;Romance,20194
genre:Comedy;Sitcom;Horror,47933
genre:Comedy;Sitcom;Romance,10503965
genre:Comedy;Sitcom;Science fiction,65160
genre:Comedy;Sitcom;Science fiction;Holiday,4676
genre:Comedy;Soccer,24412
genre:Comedy;Special,70043
genre:Comedy;Special;Holiday;Standup,18849
genre:Comedy;Special;Music,2980
genre:Comedy;Special;Performing arts,45954
genre:Comedy;Special;Standup,1544444
genre:Comedy;Sports,6381
genre:Comedy;Standup,544911
genre:Comedy;Thriller,640
genre:Comedy;Variety,334757
genre:Comedy;Western,97191
genre:Comedy;Western;Horror,2511
genre:Community,398237
genre:Community;Bicycle,137
genre:Community;Talk;Religious,448465
genre:Competition reality,13538085
genre:Consumer,14429538
genre:Consumer;Cooking,2814
genre:Consumer;Documentary,1072
genre:Consumer;House/garden;Self improvement;Home improvement,1762
genre:Consumer;How-to;Health;Exercise,473265
genre:Consumer;How-to;Self improvement,19501
genre:Consumer;How-to;Self improvement;Science,13034
genre:Consumer;Medical;Science;Technology;Health,210
genre:Consumer;Self improvement;Medical,212
genre:Consumer;Self improvement;Science;Health,203202
genre:Consumer;Shopping;Variety,10118180
genre:Consumer;Technology,18189
genre:Cooking,24233631
genre:Cooking;Basketball,8509
genre:Cooking;Competition reality,52944595
genre:Cooking;Docudrama,740
genre:Cooking;Family;Competition reality,47918
genre:Cooking;Game show;Competition reality,21345
genre:Cooking;History,3576
genre:Cooking;Holiday,126419
genre:Cooking;Holiday;Competition reality,1705921
genre:Cooking;Home improvement,9548
genre:Cooking;How-to,4972003
genre:Cooking;How-to;Arts/crafts,35032
genre:Cooking;How-to;Holiday,8357
genre:Cooking;How-to;Special,2970
genre:Cooking;Hunting,5884
genre:Cooking;Outdoors;Fishing;Hunting,71627
genre:Cooking;Outdoors;Hunting,13932
genre:Cooking;Special,17569
genre:Cooking;Special;Competition reality,23261
genre:Cooking;Talk,470728
genre:Cooking;Talk;Variety,1850
genre:Cooking;Travel,9339485
genre:Cooking;Travel;Competition reality,411908
genre:Cooking;Travel;Special,3632
genre:Cricket,9646
genre:Crime,92700299
genre:Crime drama,83582727
genre:Crime drama;Action,30224707
genre:Crime drama;Action;Thriller,52989
genre:Crime drama;Action;Thriller;Dark comedy,12164
genre:Crime drama;Comedy drama,3515
genre:Crime drama;Dark comedy,3279
genre:Crime drama;Horror,128107
genre:Crime drama;Horror;Thriller,77942
genre:Crime drama;Medical,4957817
genre:Crime drama;Romance,5382
genre:Crime drama;Suspense;Thriller,19327
genre:Crime drama;Thriller,699157
genre:Crime drama;Thriller;Dark comedy,3360
genre:Crime drama;Western,10612058
genre:Crime;Action,167
genre:Crime;Action;Suspense;Martial arts,1955076
genre:Crime;Action;Suspense;Martial arts;Thriller,1341701
genre:Crime;Action;Thriller,4329426
genre:Crime;Action;Western;Sequel;Latino,2776
genre:Crime;Adventure;Action;Suspense;Thriller;Sequel,17956
genre:Crime;Biography,360679
genre:Crime;Cooking,6744
genre:Crime;Crime drama,154727
genre:Crime;Crime drama;Action;Thriller;Action & Adventure,7599
genre:Crime;Docudrama,1802495
genre:Crime;Drama,164159
genre:Crime;Drama;Action,212394
genre:Crime;Drama;Action;Thriller,506589
genre:Crime;Drama;Action;Western;Action & Adventure,9134
genre:Crime;Drama;Adventure;Action;Romance,1399941
genre:Crime;Drama;Adventure;Action;Thriller,64894
genre:Crime;Drama;Biography;Crime drama,486823
genre:Crime;Drama;Biography;Western,7553
genre:Crime;Drama;Crime drama,1576653
genre:Crime;Drama;Crime drama;Action,112618
genre:Crime;Drama;Crime drama;Action;Boxing;90s,323286
genre:Crime;Drama;Crime drama;Action;Latino,13607
genre:Crime;Drama;Crime drama;Action;Thriller,167957
genre:Crime;Drama;Crime drama;Action;Thriller;Comic Book Based,103251
genre:Crime;Drama;Crime drama;Thriller,187373
genre:Crime;Drama;Crime drama;Thriller;Action & Adventure,1318076
genre:Crime;Drama;Docudrama;Miniseries,2775
genre:Crime;Drama;Historical drama,525
genre:Crime;Drama;Horror;Thriller,1150
genre:Crime;Drama;Miniseries,1660
genre:Crime;Drama;Romance;Thriller,4901
genre:Crime;Drama;Thriller,13370
genre:Crime;History,34115
genre:Crime;Law,18831249
genre:Crime;Law;Newsmagazine,165020
genre:Crime;Law;Special,2985
genre:Crime;Miniseries,24138
genre:Crime;Mystery,12502626
genre:Crime;Mystery;Adventure;Action,51162
genre:Crime;Mystery;Adventure;Crime drama,74705
genre:Crime;Mystery;Crime drama,112465
genre:Crime;Mystery;Crime drama;Thriller,286830
genre:Crime;Mystery;Docudrama,2036035
genre:Crime;Mystery;Drama,17680757
genre:Crime;Mystery;Drama;Adventure;Crime drama;Action;Thriller,45358
genre:Crime;Mystery;Drama;Crime drama,2979491
genre:Crime;Mystery;Drama;Crime drama;Thriller,9335
genre:Crime;Mystery;Drama;Holiday,2138
genre:Crime;Mystery;Drama;Thriller,1384
genre:Crime;Mystery;Miniseries,3382550
genre:Crime;Mystery;Newsmagazine,9897024
genre:Crime;Newsmagazine,1912200
genre:Crime;Science,90512
genre:Crime;Science fiction;Action;Sci-Fi,54407
genre:Crime;Special,2248930
genre:Crime;Special;Docudrama,17656
genre:Cycling,2574
genre:Dance,18126
genre:Dark comedy,109594
genre:Darts,5832
genre:Docudrama,7070560
genre:Docudrama;Crime drama,1293788
genre:Docudrama;History;Western;American history,323699
genre:Docudrama;Holiday,6132
genre:Docudrama;Miniseries,40458
genre:Docudrama;Romance,24808
genre:Documentary,44377485
genre:Documentary;Action sports,19874
genre:Documentary;Action sports;Motorsports,4250
genre:Documentary;Action sports;Variety,877
genre:Documentary;Adventure,1606716
genre:Documentary;Adventure;Biography;Special,6883
