field_combination,summary_value,request_count,fill_rate
genre:Documentary;Drama;Special,801,27265,0.029378323858426553
genre:Documentary;Educational;Animals;Community,15,957,0.01567398119122257
genre:Documentary;Educational;Science,3049,170953,0.017835311459874936
genre:Documentary;Fishing,142,17901,0.007932517736439305
genre:Documentary;Gaming,118,6218,0.018977163074943713
genre:Documentary;Health,4158,317084,0.013113244439959128
genre:Documentary;Historical drama,662,29396,0.02252007075792625
genre:Documentary;History,19492,1129701,0.017254122993606274
genre:Documentary;History;American history,12065,745760,0.01617812701137095
genre:Documentary;History;American history;Ancient history;World history,705,54095,0.013032627784453276
genre:Documentary;History;Ancient history,2812,231892,0.012126334673037448
genre:Documentary;History;Ancient history;World history,330,16996,0.0194163332548835
genre:Documentary;History;Boat,554,27148,0.020406659790776483
genre:Documentary;History;Military,432,30268,0.014272499008854236
genre:Documentary;History;Military;Miniseries;War;World history,22449,2370365,0.00947069333203958
genre:Documentary;History;Military;War,791,45481,0.01739187792704646
genre:Documentary;History;Military;War;American history,57,10102,0.0056424470401900614
genre:Documentary;History;Military;War;World history,1116,62343,0.01790096722968096
genre:Documentary;History;Miniseries,334,28122,0.011876822416613328
genre:Documentary;History;Miniseries;American history,737,51870,0.014208598419124734
genre:Documentary;History;Miniseries;War,33,2232,0.01478494623655914
genre:Documentary;History;Miniseries;World history,3,3410,0.0008797653958944282
genre:Documentary;History;Religious,2677,135501,0.019756311761536815
genre:Documentary;History;Technology;Ancient history,43,3510,0.01225071225071225
genre:Documentary;History;Technology;War,1589,209623,0.007580275065236162
genre:Documentary;History;War,1230,86724,0.014182925141829252
genre:Documentary;History;Western,850,26763,0.03176026603893435
genre:Documentary;History;Western;Technology,137,2106,0.06505223171889839
genre:Documentary;History;World history,4484,250289,0.017915289924846877
genre:Documentary;Holiday;Medical,2,1728,0.0011574074074074073
genre:Documentary;Holiday;Science,138,6042,0.022840119165839126
genre:Documentary;Holiday;Science;History;Technology,22,5210,0.004222648752399232
genre:Documentary;Horror,188,31489,0.005970338848486773
genre:Documentary;House/garden;Home improvement,7658,242133,0.03162724618288296
genre:Documentary;How-to,768,92981,0.008259751992342522
genre:Documentary;Independent;American,555,19984,0.027772217774219374
genre:Documentary;Interview;Horror,7,2988,0.0023427041499330657
genre:Documentary;Interview;Miniseries,60,9882,0.006071645415907711
genre:Documentary;LGBTQ,212,16607,0.012765701210332991
genre:Documentary;LGBTQ;Historical drama,89,9104,0.009775922671353252
genre:Documentary;Medical,13701,589685,0.023234438725760365
genre:Documentary;Military,6862,339582,0.020207195905554476
genre:Documentary;Military;War,2613,95662,0.027314921285358867
genre:Documentary;Military;War;American history,81,6845,0.01183345507669832
genre:Documentary;Miniseries,43793,2061620,0.021242032964367826
genre:Documentary;Mixed martial arts,3965,169550,0.023385432025951048
genre:Documentary;Motorcycle,1257,60120,0.020908183632734532
genre:Documentary;Music,801,50753,0.015782318286603748
genre:Documentary;Music;Folk;Rock;Country,62,835,0.07425149700598803
genre:Documentary;Music;Hip-Hop & rap,381,17005,0.022405174948544545
genre:Documentary;Music;R&B,10013,561711,0.017825892674346772
genre:Documentary;Music;Rock,2635,196953,0.01337882642051657
genre:Documentary;Music;Rock;TV Series,59,1802,0.032741398446170925
genre:Documentary;Musical,351,21539,0.0162960211708993
genre:Documentary;Mystery,24997,1858720,0.013448502195058965
genre:Documentary;Mystery;Adventure;Biography;Travel,127,6550,0.019389312977099237
genre:Documentary;Mystery;Adventure;Travel,123,4935,0.02492401215805471
genre:Documentary;Mystery;Adventure;Travel;History,62363,2837808,0.021975764392798948
genre:Documentary;Mystery;Biography,648,22957,0.028226684671342074
genre:Documentary;Mystery;History,402844,36113759,0.011154862056868685
genre:Documentary;Mystery;History;American history,413,13971,0.029561233984682557
genre:Documentary;Mystery;History;Military;War,267,7534,0.03543934165118131
genre:Documentary;Mystery;History;Military;War;Ancient history;World history,229,17605,0.013007668276057939
genre:Documentary;Mystery;History;Military;War;World history,277,18854,0.01469184257982391
genre:Documentary;Mystery;History;Religious,321,44765,0.0071707807438847315
genre:Documentary;Mystery;History;Religious;Miniseries,3,6138,0.0004887585532746823
genre:Documentary;Mystery;Paranormal,317,59186,0.005355996350488291
genre:Documentary;Mystery;Paranormal;History,1450,81886,0.01770754463522458
genre:Documentary;Mystery;Paranormal;Special;History;Military,33,6259,0.005272407732864675
genre:Documentary;Mystery;Special;History;Religious,12,3078,0.003898635477582846
genre:Documentary;Mystery;Travel,889,60884,0.01460153734971421
genre:Documentary;Nature,10259,965444,0.010626198930233137
genre:Documentary;Nature;Animals,12941,546609,0.023675058405551317
genre:Documentary;Nature;Animals;Environment,38,3348,0.011350059737156512
genre:Documentary;Nature;Animals;Science,14,4104,0.00341130604288499
genre:Documentary;Nature;Animals;Science;Environment,1222,46859,0.026078234704112337
genre:Documentary;Nature;Animals;Special,2400,140555,0.01707516630500516
genre:Documentary;Nature;Animals;Special;Environment,149,20808,0.0071607074202229915
genre:Documentary;Nature;Animals;Special;Science,353,41136,0.008581291326332166
genre:Documentary;Nature;Animals;Travel;Miniseries,292,4932,0.059205190592051905
genre:Documentary;Nature;Biography;Special,75,1905,0.03937007874015748
genre:Documentary;Nature;Biography;Special;Science,157,17948,0.008747492756853131
genre:Documentary;Nature;Educational;Science;History,6,1008,0.005952380952380952
genre:Documentary;Nature;Environment,2671,188642,0.014159095005354057
genre:Documentary;Nature;History;Miniseries,889,153962,0.005774152063496188
genre:Documentary;Nature;Hunting,60,1512,0.03968253968253968
